reaction,ec,kegg
rxn02569_c0,2.7.9.3,R03595
rxn02571_c0,2.5.1.47,R03601
rxn02575_c0,2.4.1.111,
rxn02602_c0,1.14.11.9,R03640
rxn02699_c0,1.14.11.13,R03809
rxn02703_c0,2.7.1.3,R03819
rxn02729_c0,1.1.1.70;1.2.1.3,
rxn02749_c0,4.2.1.35,R03896
rxn02758_c0,1.1.1.195,R03918
rxn02770_c0,1.1.1.173,R03942
rxn02789_c0,4.2.1.33,R03968
rxn02811_c0,4.2.1.33,R04001
rxn02812_c0,2.7.2.1;2.7.2.14;2.7.2.15;2.7.2.7,R04002
rxn02814_c0,1.1.1.195,
rxn02815_c0,2.4.1.111,
rxn02826_c0,1.4.3.21;1.4.3.4;1.4.3.9,R04025
rxn02834_c0,3.6.1.31,R04035
rxn02835_c0,3.5.4.19,R04037
rxn02853_c0,1.1.1.70;1.2.1.3,R04065
rxn02889_c0,6.4.1.4,R04138
rxn02895_c0,6.3.1.3;6.3.4.13,R04144
rxn02914_c0,2.6.1.52,R04173
rxn02928_c0,1.17.1.8;1.3.1.26,
rxn02929_c0,1.17.1.8;1.3.1.26,
rxn02936_c0,4.2.1.11,R04206
rxn02937_c0,6.3.3.1,
rxn02940_c0,2.3.1.58,R04211
rxn02944_c0,2.6.1.81,R04217
rxn02986_c0,4.2.3.12;4.6.1.10,
rxn02990_c0,1.2.1.41,
rxn02993_c0,1.4.3.21;1.4.3.4;1.4.3.9,R04300
rxn03004_c0,2.1.2.2,R04325
rxn03031_c0,2.3.1.117,R04365
rxn03039_c0,2.4.2.7,R04378
rxn03047_c0,2.7.1.33,R04391
rxn03052_c0,2.1.1.14,R04405
rxn03061_c0,4.2.1.99,R04425
rxn03062_c0,1.1.1.85,R04426
rxn03063_c0,2.1.1.41,R04427
rxn03064_c0,2.5.1.56;2.5.1.57;4.1.3.19;4.1.3.20,R04435
rxn03068_c0,1.1.1.86;1.1.1.89,
rxn03071_c0,1.2.1.88;1.5.1.12,
rxn03072_c0,1.2.1.88;1.5.1.12,
rxn03080_c0,2.5.1.78,R04457
rxn03084_c0,6.3.5.3,
rxn03087_c0,2.6.1.17,R04475
rxn03106_c0,1.1.1.70;1.2.1.3,R04506
rxn03108_c0,2.7.4.7,R04509
rxn03122_c0,2.6.1.34;2.6.1.91,R04529
rxn03126_c0,1.8.98.1,R04540
rxn03130_c0,3.6.1.54,R04549
rxn03135_c0,4.3.2.10,R04558
rxn03136_c0,4.3.2.2,
rxn03137_c0,2.1.2.3,R04560
rxn03140_c0,6.3.2.10,
rxn03146_c0,3.5.1.108,R04587
rxn03147_c0,6.3.2.6,
rxn03159_c0,2.4.1.182,R04606
rxn03164_c0,6.3.2.10,R04617
rxn03167_c0,3.1.3.1;3.1.3.2,
rxn03174_c0,3.5.4.16,R04639
rxn03175_c0,5.3.1.16,R04640
rxn03181_c0,2.7.1.130,R04657
rxn03182_c0,2.4.99.12,R04658
rxn03188_c0,3.5.1.6,
rxn03194_c0,2.2.1.6;4.1.3.18,
rxn03195_c0,1.4.3.21;1.4.3.4;1.4.3.9,R04674
rxn03263_c0,4.2.1.15;4.4.1.1;4.4.1.11,R04770
rxn03264_c0,2.4.2.13;2.5.1.6,R04771
rxn03335_c0,1.1.1.70;1.2.1.3,R04882
rxn03342_c0,1.4.3.21;1.4.3.4;1.4.3.9,R04890
rxn03343_c0,1.1.1.70;1.2.1.3,R04891
rxn03345_c0,1.4.3.21;1.4.3.4;1.4.3.9,R04893
rxn03346_c0,1.4.3.21;1.4.3.4;1.4.3.9,R04894
rxn03354_c0,1.1.1.70;1.2.1.3,R04903
rxn03358_c0,1.4.3.21;1.4.3.4;1.4.3.9,R04907
rxn03359_c0,1.4.3.21;1.4.3.4;1.4.3.9,
rxn03374_c0,4.2.1.15;4.4.1.1,R04930
rxn03379_c0,4.4.1.13;4.4.1.6;4.4.1.8,R04941
rxn03382_c0,2.5.1.48,
rxn03383_c0,2.5.1.48,
rxn03384_c0,4.1.1.37,R04972
rxn03391_c0,2.1.1.201,R04983
rxn03397_c0,2.1.1.201,R04990
rxn03408_c0,2.4.1.227,
rxn03414_c0,1.14.11.9,
rxn03419_c0,3.5.4.16,
rxn03421_c0,3.5.4.16,R05048
rxn03423_c0,1.1.1.70;1.2.1.3,R05050
rxn03424_c0,1.2.1.88;1.5.1.12;1.5.5.2,
rxn03435_c0,1.1.1.86;1.1.1.89,
rxn03436_c0,1.1.1.86;1.1.1.89,
rxn03437_c0,4.2.1.9,
rxn03439_c0,2.4.99.13,R05074;R06285
rxn03445_c0,2.6.1.52,R05085
rxn03446_c0,4.2.3.1,R05086
rxn03455_c0,1.2.1.4,R05099
rxn03546_c0,1.1.1.2,R05231
rxn03550_c0,1.2.1.29,R05235
rxn03551_c0,1.2.1.61,R05236
rxn03583_c0,1.1.1.257,R05271
rxn03584_c0,1.2.1.62,R05272
rxn03598_c0,1.1.1.70;1.2.1.3,R05286
rxn03601_c0,1.2.1.28,R05289
rxn03618_c0,1.1.1.306;1.2.1.66,R05307
rxn03638_c0,2.3.1.157,
rxn03841_c0,4.1.3.38,R05553
rxn03887_c0,4.2.1.42,R05608
rxn03901_c0,3.6.1.27,
rxn03903_c0,2.7.8.13,
rxn03904_c0,2.7.8.13,
rxn03907_c0,2.7.7.60,R05633
rxn03908_c0,2.7.1.148,R05634
rxn03909_c0,2.2.1.7;4.1.3.37,R05636
rxn03910_c0,4.6.1.12,R05637
rxn03916_c0,2.7.7.70,R05644
rxn03917_c0,5.3.1.28,
rxn03918_c0,2.7.1.167,
rxn03933_c0,2.4.1.227,R05662;R06173
rxn03934_c0,1.2.1.28,R05663
rxn03935_c0,1.2.1.28,R05664
rxn03951_c0,1.1.1.262,R05681
rxn03958_c0,1.1.1.267,R05688
rxn03962_c0,1.1.1.271,R05692
rxn03969_c0,1.2.1.67,R05699
rxn03978_c0,1.7.2.2,
rxn04070_c0,2.6.99.2,R05838
rxn04113_c0,1.17.1.2;1.17.7.4,
rxn04210_c0,1.14.11.13,R06337
rxn04211_c0,1.14.11.13,R06338
rxn04234_c0,1.1.1.70;1.2.1.3,R06366
