reaction,name
rxn00609_c0,myo-Inositol-1-phosphate synthase
rxn00611_c0,sn-Glycerol-3-phosphate:NAD+ 2-oxidoreductase
rxn00612_c0,sn-Glycerol-3-phosphate:NADP+ 2-oxidoreductase
rxn00621_c0,CTP:sn-glycerol-3-phosphate cytidylyltransferase
rxn00623_c0,hydrogen-sulfide:NADP+ oxidoreductase
rxn00626_c0,D-Mannitol:ferricytochrome-c 2-oxidoreductase
rxn00627_c0,ATP:D-fructose 1-phosphotransferase
rxn00629_c0,D-Mannitol:NAD+ 2-oxidoreductase
rxn00630_c0,D-Mannitol:NADP+ 2-oxidoreductase
rxn00640_c0,GDP:D-mannose-1-phosphate guanylyltransferase
rxn00642_c0,"GDP-mannose 4,6-hydro-lyase (GDP-4-dehydro-6-deoxy-D-mannose-forming)"
rxn00646_c0,L-glutamate:L-cysteine gamma-ligase (ADP-forming)
rxn00647_c0,L-Cysteine:2-oxoglutarate aminotransferase
rxn00649_c0,O3-acetyl-L-serine:hydrogen-sulfide 2-amino-2-carboxyethyltransferase
rxn00650_c0,L-cysteinylglycine dipeptidase
rxn00651_c0,L-cysteine hydrogen-sulfide-lyase (adding sulfite; L-cysteate-forming)
rxn00653_c0,3-aminopropanal:NAD+ oxidoreductase
rxn00654_c0,N-Carbamoyl-beta-alanine amidohydrolase
rxn00656_c0,L-Alanine:3-oxopropanoate aminotransferase
rxn00657_c0,beta-alanine:2-oxoglutarate aminotransferase
rxn00670_c0,propanoyl-CoA:phosphate propanoyltransferase
rxn00671_c0,2-Methyl-3-oxopropanoate:NAD+ oxidoreductase (CoA-propanoylating)
rxn00674_c0,Propanoate:CoA ligase (AMP-forming)
rxn00675_c0,Propionyladenylate:CoA propionyltransferase
rxn00684_c0,"5,6,7,8-tetrahydrofolate:NAD+ oxidoreductase"
rxn00686_c0,"5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase"
rxn00689_c0,Tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming)
rxn00690_c0,Formate:tetrahydrofolate ligase (ADP-forming)
rxn00691_c0,10-Formyltetrahydrofolate amidohydrolase
rxn00692_c0,"5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase"
rxn00693_c0,5-Methyltetrahydrofolate:L-homocysteine S-methyltransferase
rxn00701_c0,UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase
rxn00702_c0,CTP:alpha-D-glucose-1-phosphate cytidylyltransferase
rxn00704_c0,"alpha-D-Glucose 1-phosphate 1,6-phosphomutase"
rxn00708_c0,Uridine 5'-monophosphate phosphohydrolase
rxn00710_c0,orotidine-5'-phosphate carboxy-lyase (UMP-forming)
rxn00711_c0,UMP:diphosphate phospho-alpha-D-ribosyltransferase
rxn00726_c0,chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)
rxn00727_c0,Chorismate pyruvate-lyase (amino-accepting)
rxn00735_c0,"(2R,3S)-3-methylmalate:NAD+ oxidoreductase"
rxn00736_c0,methyloxaloacetate carboxy-lyase (2-oxobutanoate-forming)
rxn00737_c0,L-threonine ammonia-lyase (2-oxobutanoate-forming)
rxn00742_c0,L-cystathionine cysteine-lyase (deaminating; 2-oxobutanoate-forming)
rxn00743_c0,Glycerone phosphate phosphohydrolase
rxn00744_c0,ATP:glycerone phosphotransferase
rxn00747_c0,D-glyceraldehyde-3-phosphate aldose-ketose-isomerase
rxn00751_c0,ATP:choline phosphotransferase
rxn00758_c0,sn-Glycero-3-phosphocholine glycerophosphohydrolase
rxn00763_c0,Glycerol:NAD+ oxidoreductase
rxn00765_c0,Glycerol:NADP+ oxidoreductase
rxn00770_c0,ATP:D-ribose-5-phosphate diphosphotransferase
rxn00777_c0,D-ribose-5-phosphate aldose-ketose-isomerase
rxn00778_c0,"D-Ribose 1,5-phosphomutase"
rxn00779_c0,D-glyceraldehyde 3-phosphate:NADP+ oxidoreductase
rxn00780_c0,ATP:D-glyceraldehyde 3-phosphotransferase
rxn00781_c0,D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)
